chapter_number,chapter_name,question,answer1,answer2,answer3,answer4,correct_answer
1,Introduction to Business Analysis,What is the primary goal of business analysis?,To create new products,To align solutions with business needs,To reduce business costs,To improve customer experience,2
1,Introduction to Business Analysis,Which of the following is a core competency of a business analyst?,Managing financial resources,Building technical infrastructure,Understanding business needs,Developing marketing strategies,3
1,Introduction to Business Analysis,Business analysts work primarily to identify which of the following?,Project risks,Business opportunities,Customer preferences,Organizational goals,2
1,Introduction to Business Analysis,Which of the following is a key characteristic of business analysis?,Highly technical focus,Focus on business needs,Focus on project management,Focus on implementation,2
1,Introduction to Business Analysis,The BABOK guide is primarily used by professionals in which domain?,Healthcare,Business analysis,Software development,Project management,2
1,Introduction to Business Analysis,Which stakeholder is most likely to define business needs for a project?,Project manager,Business analyst,Subject matter expert,Business owner,4
1,Introduction to Business Analysis,What is a key responsibility of a business analyst?,Directing project teams,Analyzing and documenting requirements,Implementing solutions,Managing customer relationships,2
1,Introduction to Business Analysis,Which of the following is an output of business analysis?,Budget estimates,Requirements documentation,Testing plans,Resource allocations,2
1,Introduction to Business Analysis,What does BABOK stand for?,Business Analysis Body of Knowledge,Business Analyst’s Best Practices,Business Application of Knowledge,Best Applied Body of Knowledge,1
1,Introduction to Business Analysis,Which knowledge area in BABOK focuses on eliciting business needs?,Strategy analysis,Requirements elicitation,Solution evaluation,Solution implementation,2
1,Introduction to Business Analysis,What is the role of a business analyst during a project?,Manage project timelines,Define business needs and requirements,Perform technical analysis,Conduct quality assurance,2
1,Introduction to Business Analysis,Which of the following is not a type of business analysis perspective?,Process analysis,Enterprise analysis,Data analysis,Requirement analysis,4
1,Introduction to Business Analysis,What is a key goal of requirements management?,Align stakeholders with business goals,Prioritize features based on revenue,Ensure requirements are tested,Monitor project progress,1
1,Introduction to Business Analysis,The business analysis approach should be tailored to which of the following?,Project scope,Business needs,Organizational culture,Solution capabilities,2
1,Introduction to Business Analysis,Which of the following is an example of a business analysis task?,Define project scope,Identify stakeholders,Design technical solutions,Develop marketing campaigns,2
1,Introduction to Business Analysis,Who is primarily responsible for approving business requirements?,Business analyst,Project sponsor,Business owner,IT director,3
