quiz_date,chapter_number,chapter_name,total_questions,final_score
2024-12-10 14:18:09,1,Introduction to Business Analysis,10,2
2024-12-10 14:37:45,4,Requirements Life Cycle Management,10,5
2024-12-10 14:47:02,3,Elicitation and Collaboration,10,4
2024-12-10 14:57:04,4,Requirements Life Cycle Management,10,3
2024-12-10 15:16:18,4,Requirements Life Cycle Management,10,4
2024-12-10 15:17:21,5,Strategy Analysis,10,5
2024-12-10 15:21:39,2,Business Analysis Planning and Monitoring,10,5
2024-12-11 12:43:30,5,Strategy Analysis,10,2
2024-12-11T12:57:23.542023+00:00,3,Elicitation and Collaboration,10,7
2024-12-11T13:06:40.375621+00:00,1,Introduction to Business Analysis,15,3
2024-12-24T13:19:42.807727+00:00,2,Business Analysis Planning and Monitoring,15,5
